"","fips","county_name","state_abbr","state_name"
"141",5057,"Hempstead","AR","Arkansas"
"142",5059,"Hot Spring","AR","Arkansas"
"143",5061,"Howard","AR","Arkansas"
"144",5063,"Independence","AR","Arkansas"
"145",5065,"Izard","AR","Arkansas"
"146",5067,"Jackson","AR","Arkansas"
"147",5069,"Jefferson","AR","Arkansas"
"148",5071,"Johnson","AR","Arkansas"
"149",5073,"Lafayette","AR","Arkansas"
"150",5075,"Lawrence","AR","Arkansas"
"151",5077,"Lee","AR","Arkansas"
"152",5079,"Lincoln","AR","Arkansas"
"153",5081,"Little River","AR","Arkansas"
"154",5083,"Logan","AR","Arkansas"
"155",5085,"Lonoke","AR","Arkansas"
"156",5087,"Madison","AR","Arkansas"
"157",5089,"Marion","AR","Arkansas"
"158",5091,"Miller","AR","Arkansas"
"159",5093,"Mississippi","AR","Arkansas"
"160",5095,"Monroe","AR","Arkansas"
"161",5097,"Montgomery","AR","Arkansas"
"162",5099,"Nevada","AR","Arkansas"
"163",5101,"Newton","AR","Arkansas"
"164",5103,"Ouachita","AR","Arkansas"
"165",5105,"Perry","AR","Arkansas"
"166",5107,"Phillips","AR","Arkansas"
"167",5109,"Pike","AR","Arkansas"
"168",5111,"Poinsett","AR","Arkansas"
"169",5113,"Polk","AR","Arkansas"
"170",5115,"Pope","AR","Arkansas"
"171",5117,"Prairie","AR","Arkansas"
"172",5119,"Pulaski","AR","Arkansas"
"173",5121,"Randolph","AR","Arkansas"
"174",5123,"St. Francis","AR","Arkansas"
"175",5125,"Saline","AR","Arkansas"
"176",5127,"Scott","AR","Arkansas"
"177",5129,"Searcy","AR","Arkansas"
"178",5131,"Sebastian","AR","Arkansas"
"179",5133,"Sevier","AR","Arkansas"
"180",5135,"Sharp","AR","Arkansas"
"181",5137,"Stone","AR","Arkansas"
"182",5139,"Union","AR","Arkansas"
"183",5141,"Van Buren","AR","Arkansas"
"184",5143,"Washington","AR","Arkansas"
"185",5145,"White","AR","Arkansas"
"186",5147,"Woodruff","AR","Arkansas"
"187",5149,"Yell","AR","Arkansas"
"188",6001,"Alameda","CA","California"
"189",6003,"Alpine","CA","California"
"190",6005,"Amador","CA","California"
"191",6007,"Butte","CA","California"
"192",6009,"Calaveras","CA","California"
"193",6011,"Colusa","CA","California"
"194",6013,"Contra Costa","CA","California"
"195",6015,"Del Norte","CA","California"
"196",6017,"El Dorado","CA","California"
"197",6019,"Fresno","CA","California"
"198",6021,"Glenn","CA","California"
"199",6023,"Humboldt","CA","California"
"200",6025,"Imperial","CA","California"
"201",6027,"Inyo","CA","California"
"202",6029,"Kern","CA","California"
"203",6031,"Kings","CA","California"
"204",6033,"Lake","CA","California"
"205",6035,"Lassen","CA","California"
"206",6037,"Los Angeles","CA","California"
"207",6039,"Madera","CA","California"
"208",6041,"Marin","CA","California"
"209",6043,"Mariposa","CA","California"
"210",6045,"Mendocino","CA","California"
"211",6047,"Merced","CA","California"
"212",6049,"Modoc","CA","California"
"213",6051,"Mono","CA","California"
"214",6053,"Monterey","CA","California"
"215",6055,"Napa","CA","California"
"216",6057,"Nevada","CA","California"
"217",6059,"Orange","CA","California"
"218",6061,"Placer","CA","California"
"219",6063,"Plumas","CA","California"
"220",6065,"Riverside","CA","California"
"221",6067,"Sacramento","CA","California"
"222",6069,"San Benito","CA","California"
"223",6071,"San Bernardino","CA","California"
"224",6073,"San Diego","CA","California"
"225",6075,"San Francisco","CA","California"
"226",6077,"San Joaquin","CA","California"
"227",6079,"San Luis Obispo","CA","California"
"228",6081,"San Mateo","CA","California"
"229",6083,"Santa Barbara","CA","California"
"230",6085,"Santa Clara","CA","California"
"231",6087,"Santa Cruz","CA","California"
"232",6089,"Shasta","CA","California"
"233",6091,"Sierra","CA","California"
"234",6093,"Siskiyou","CA","California"
"235",6095,"Solano","CA","California"
"236",6097,"Sonoma","CA","California"
"237",6099,"Stanislaus","CA","California"
"238",6101,"Sutter","CA","California"
"239",6103,"Tehama","CA","California"
"240",6105,"Trinity","CA","California"
"241",6107,"Tulare","CA","California"
"242",6109,"Tuolumne","CA","California"
"243",6111,"Ventura","CA","California"
"244",6113,"Yolo","CA","California"
"245",6115,"Yuba","CA","California"
"246",8001,"Adams","CO","Colorado"
"247",8003,"Alamosa","CO","Colorado"
"248",8005,"Arapahoe","CO","Colorado"
"249",8007,"Archuleta","CO","Colorado"
"250",8009,"Baca","CO","Colorado"
"251",8011,"Bent","CO","Colorado"
"252",8013,"Boulder","CO","Colorado"
"253",8014,"Broomfield","CO","Colorado"
"254",8015,"Chaffee","CO","Colorado"
"255",8017,"Cheyenne","CO","Colorado"
"256",8019,"Clear Creek","CO","Colorado"
"257",8021,"Conejos","CO","Colorado"
"258",8023,"Costilla","CO","Colorado"
"259",8025,"Crowley","CO","Colorado"
"260",8027,"Custer","CO","Colorado"
"261",8029,"Delta","CO","Colorado"
"262",8031,"Denver","CO","Colorado"
"263",8033,"Dolores","CO","Colorado"
"264",8035,"Douglas","CO","Colorado"
"265",8037,"Eagle","CO","Colorado"
"266",8039,"Elbert","CO","Colorado"
"267",8041,"El Paso","CO","Colorado"
"268",8043,"Fremont","CO","Colorado"
"269",8045,"Garfield","CO","Colorado"
"270",8047,"Gilpin","CO","Colorado"
"271",8049,"Grand","CO","Colorado"
"272",8051,"Gunnison","CO","Colorado"
